n_predictors,predictors,RSS,R2,AIC,BIC
0,None (Intercept only),48106.92874439443,0.0,1525.219705941091,1528.9234884157472
1,x_10,39357.44064548677,0.18187584049266858,1466.997355043493,1474.4049199928054
2,"x_10, x_9_c",34692.36572119736,0.2788488763120255,1431.147737711632,1442.2590851356008
3,"x_10, x_9_b, x_9_c",29237.599023472823,0.3922372559092191,1381.8284969287254,1396.64362682735
4,"x_7, x_10, x_9_b, x_9_c",24345.414140592984,0.49393123244373005,1328.8948915408662,1347.4138039141471
5,"x_1, x_7, x_10, x_9_b, x_9_c",23518.495072544916,0.5111204209791638,1320.5279820895166,1342.7506769374538
6,"x_1, x_7, x_10, x_13, x_9_b, x_9_c",21562.223686782294,0.5517854860087115,1296.4747053528108,1322.4011826754042
7,"x_1, x_7, x_10, x_13, x_14, x_9_b, x_9_c",20743.203918099447,0.568810471599343,1286.8574426008868,1316.4877023981364
8,"x_1, x_7, x_8, x_10, x_13, x_14, x_9_b, x_9_c",20405.757971145948,0.5758249694224412,1283.9369756512895,1317.2710179231954
9,"x_1, x_3, x_7, x_8, x_10, x_13, x_14, x_9_b, x_9_c",20245.860539884037,0.5791487615545785,1283.5769477596452,1320.6147725062071
10,"x_1, x_3, x_6, x_7, x_8, x_10, x_13, x_14, x_9_b, x_9_c",20129.287514932876,0.5815719681070182,1283.84459474804,1324.5862019692581
11,"x_1, x_2, x_3, x_6, x_7, x_8, x_10, x_13, x_14, x_9_b, x_9_c",20056.354653778377,0.5830880254205502,1284.7556544604827,1329.201044156357
12,"x_1, x_2, x_3, x_6, x_7, x_8, x_10, x_11, x_13, x_14, x_9_b, x_9_c",19985.908819763357,0.5845523848351641,1285.7000811649252,1333.8492533354558
13,"x_1, x_2, x_3, x_6, x_7, x_8, x_10, x_11, x_13, x_14, x_17, x_9_b, x_9_c",19920.52807724839,0.5859114560588199,1286.7170698099105,1338.5700244550974
14,"x_1, x_2, x_3, x_5, x_6, x_7, x_8, x_10, x_11, x_13, x_14, x_17, x_9_b, x_9_c",19853.50342991801,0.5873046991753468,1287.7059873286992,1343.2627244485423
15,"x_1, x_2, x_3, x_5, x_6, x_7, x_8, x_10, x_11, x_12, x_13, x_14, x_17, x_9_b, x_9_c",19795.48413776286,0.5885107477356992,1288.8279926489809,1348.0885122434802
16,"x_1, x_2, x_3, x_5, x_6, x_7, x_8, x_10, x_11, x_12, x_13, x_14, x_16, x_17, x_9_b, x_9_c",19757.36817118904,0.589303065340848,1290.2497894173898,1353.2140914865452
17,"x_1, x_2, x_3, x_5, x_6, x_7, x_8, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_9_b, x_9_c",19729.66278746254,0.5898789778850411,1291.8288098562493,1358.496894400061
18,"x_1, x_2, x_3, x_4_f, x_5, x_6, x_7, x_8, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_9_b, x_9_c",19727.07343826072,0.5899328027553747,1293.7894348427046,1364.1613018611724
