n_predictors,predictors,RSS,R2,AIC,BIC
0,None (Intercept only),48106.92874439443,0.0,1525.219705941091,1528.9234884157472
1,x_10,39357.44064548677,0.18187584049266858,1466.997355043493,1474.4049199928054
2,"x_10, x_9_c",34692.36572119736,0.2788488763120255,1431.147737711632,1442.2590851356008
3,"x_10, x_9_c, x_9_b",29237.599023472823,0.3922372559092191,1381.8284969287254,1396.64362682735
4,"x_10, x_9_c, x_9_b, x_7",24345.414140592984,0.49393123244373005,1328.8948915408662,1347.4138039141471
5,"x_10, x_9_c, x_9_b, x_7, x_3",23293.395274671784,0.5157995764303285,1317.6427980322633,1339.8654928802005
6,"x_10, x_9_c, x_9_b, x_7, x_3, x_14",22382.379289840235,0.5347368897988878,1307.6740444333464,1333.6005217559398
7,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13",21909.16669380127,0.5445735725468819,1303.2633772196225,1332.8936370168722
8,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13, x_1",20495.255706245534,0.5739645776361537,1285.2498704168554,1318.5839126887613
9,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13, x_1, x_8",20245.860539884037,0.5791487615545785,1283.5769477596452,1320.6147725062071
10,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13, x_1, x_8, x_6",20129.287514932876,0.5815719681070182,1283.84459474804,1324.5862019692581
11,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13, x_1, x_8, x_6, x_2",20056.354653778377,0.5830880254205502,1284.7556544604827,1329.201044156357
12,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13, x_1, x_8, x_6, x_2, x_11",19985.90881976336,0.584552384835164,1285.7000811649255,1333.849253335456
13,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13, x_1, x_8, x_6, x_2, x_11, x_17",19920.528077248386,0.58591145605882,1286.71706980991,1338.570024455097
14,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13, x_1, x_8, x_6, x_2, x_11, x_17, x_5",19853.503429918015,0.5873046991753468,1287.7059873286992,1343.2627244485423
15,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13, x_1, x_8, x_6, x_2, x_11, x_17, x_5, x_12",19795.484137762858,0.5885107477356992,1288.8279926489806,1348.0885122434797
16,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13, x_1, x_8, x_6, x_2, x_11, x_17, x_5, x_12, x_16",19757.368171189042,0.589303065340848,1290.2497894173898,1353.2140914865452
17,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13, x_1, x_8, x_6, x_2, x_11, x_17, x_5, x_12, x_16, x_15",19729.66278746254,0.5898789778850411,1291.8288098562493,1358.496894400061
18,"x_10, x_9_c, x_9_b, x_7, x_3, x_14, x_13, x_1, x_8, x_6, x_2, x_11, x_17, x_5, x_12, x_16, x_15, x_4_f",19727.073438260715,0.589932802755375,1293.7894348427046,1364.1613018611724
